#file creation series : 11.Oct.2013
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 48004F93  22   5   u    0       0         21              0      HF   -31    19      1
 48004E93  22   5   u    0       0         21              1      HF   -29    19      1
 48005093  22   5   u    0       0         21              2      HF   -33    19      1
 48005493  22   5   u    0       0          2              0      HF   -41    19      1
 48005295  22   5   u    0       0          2              1      HF   -37    21      1
 48005195  22   5   u    0       0          2              2      HF   -35    21      1
 48005315  22   5   u    0       0          3              0      HF   -38    21      1
 48005215  22   5   u    0       0          3              1      HF   -36    21      1
 48005395  22   5   u    0       0          3              2      HF   -39    21      1
 48009493  22   5   u    0       0          4              0      HF   -41    19      2
 48009295  22   5   u    0       0          4              1      HF   -37    21      2
 48009195  22   5   u    0       0          4              2      HF   -35    21      2
 48009315  22   5   u    0       0          5              0      HF   -38    21      2
 48009215  22   5   u    0       0          5              1      HF   -36    21      2
 48009395  22   5   u    0       0          5              2      HF   -39    21      2
 48009413  22   5   u    0       0          6              0      HF   -40    19      2
 48009313  22   5   u    0       0          6              1      HF   -38    19      2
 48009213  22   5   u    0       0          6              2      HF   -36    19      2
 48009293  22   5   u    0       0          7              0      HF   -37    19      2
 48009193  22   5   u    0       0          7              1      HF   -35    19      2
 48009393  22   5   u    0       0          7              2      HF   -39    19      2
 48005413  22   5   u    0       0          8              0      HF   -40    19      1
 48005313  22   5   u    0       0          8              1      HF   -38    19      1
 48005213  22   5   u    0       0          8              2      HF   -36    19      1
 48005293  22   5   u    0       0          9              0      HF   -37    19      1
 48005193  22   5   u    0       0          9              1      HF   -35    19      1
 48005393  22   5   u    0       0          9              2      HF   -39    19      1
 48005099  22   6   u    0       0         14              0      HF   -33    25      1
 48004F99  22   6   u    0       0         14              1      HF   -31    25      1
 48004E99  22   6   u    0       0         14              2      HF   -29    25      1
 48005019  22   6   u    0       0         15              0      HF   -32    25      1
 48004F19  22   6   u    0       0         15              1      HF   -30    25      1
 48005119  22   6   u    0       0         15              2      HF   -34    25      1
 48009099  22   6   u    0       0         16              0      HF   -33    25      2
 48008F99  22   6   u    0       0         16              1      HF   -31    25      2
 48008E99  22   6   u    0       0         16              2      HF   -29    25      2
 48009019  22   6   u    0       0         17              0      HF   -32    25      2
 48008F19  22   6   u    0       0         17              1      HF   -30    25      2
 48009119  22   6   u    0       0         17              2      HF   -34    25      2
 48009117  22   6   u    0       0         18              0      HF   -34    23      2
 48009017  22   6   u    0       0         18              1      HF   -32    23      2
 48008F17  22   6   u    0       0         18              2      HF   -30    23      2
 48008F97  22   6   u    0       0         19              0      HF   -31    23      2
 48008E97  22   6   u    0       0         19              1      HF   -29    23      2
 48009097  22   6   u    0       0         19              2      HF   -33    23      2
 48005117  22   6   u    0       0         20              0      HF   -34    23      1
 48005017  22   6   u    0       0         20              1      HF   -32    23      1
 48004F17  22   6   u    0       0         20              2      HF   -30    23      1
 48004F97  22   6   u    0       0         21              0      HF   -31    23      1
 48004E97  22   6   u    0       0         21              1      HF   -29    23      1
 48005097  22   6   u    0       0         21              2      HF   -33    23      1
 48005497  22   6   u    0       0          2              0      HF   -41    23      1
 48005299  22   6   u    0       0          2              1      HF   -37    25      1
 48005199  22   6   u    0       0          2              2      HF   -35    25      1
 48005319  22   6   u    0       0          3              0      HF   -38    25      1
 48005219  22   6   u    0       0          3              1      HF   -36    25      1
 48005399  22   6   u    0       0          3              2      HF   -39    25      1
 48009497  22   6   u    0       0          4              0      HF   -41    23      2
 48009299  22   6   u    0       0          4              1      HF   -37    25      2
 48009199  22   6   u    0       0          4              2      HF   -35    25      2
 48009319  22   6   u    0       0          5              0      HF   -38    25      2
 48009219  22   6   u    0       0          5              1      HF   -36    25      2
 48009399  22   6   u    0       0          5              2      HF   -39    25      2
 48009417  22   6   u    0       0          6              0      HF   -40    23      2
 48009317  22   6   u    0       0          6              1      HF   -38    23      2
 48009217  22   6   u    0       0          6              2      HF   -36    23      2
 48009297  22   6   u    0       0          7              0      HF   -37    23      2
 48009197  22   6   u    0       0          7              1      HF   -35    23      2
 48009397  22   6   u    0       0          7              2      HF   -39    23      2
 48005417  22   6   u    0       0          8              0      HF   -40    23      1
 48005317  22   6   u    0       0          8              1      HF   -38    23      1
 48005217  22   6   u    0       0          8              2      HF   -36    23      1
 48005297  22   6   u    0       0          9              0      HF   -37    23      1
 48005197  22   6   u    0       0          9              1      HF   -35    23      1
 48005397  22   6   u    0       0          9              2      HF   -39    23      1
 48007083  22   7   u    0       0         14              0      HF    33     3      1
 48006F83  22   7   u    0       0         14              1      HF    31     3      1
 48006E83  22   7   u    0       0         14              2      HF    29     3      1
 48007003  22   7   u    0       0         15              0      HF    32     3      1
 48006F03  22   7   u    0       0         15              1      HF    30     3      1
 48007103  22   7   u    0       0         15              2      HF    34     3      1
 4800B083  22   7   u    0       0         16              0      HF    33     3      2
 4800AF83  22   7   u    0       0         16              1      HF    31     3      2
 4800AE83  22   7   u    0       0         16              2      HF    29     3      2
 4800B003  22   7   u    0       0         17              0      HF    32     3      2
 4800AF03  22   7   u    0       0         17              1      HF    30     3      2
 4800B103  22   7   u    0       0         17              2      HF    34     3      2
 4800B105  22   7   u    0       0         18              0      HF    34     5      2
 4800B005  22   7   u    0       0         18              1      HF    32     5      2
 4800AF05  22   7   u    0       0         18              2      HF    30     5      2
 4800AF85  22   7   u    0       0         19              0      HF    31     5      2
 4800AE85  22   7   u    0       0         19              1      HF    29     5      2
 4800B085  22   7   u    0       0         19              2      HF    33     5      2
 48007105  22   7   u    0       0         20              0      HF    34     5      1
 48007005  22   7   u    0       0         20              1      HF    32     5      1
 48006F05  22   7   u    0       0         20              2      HF    30     5      1
 48006F85  22   7   u    0       0         21              0      HF    31     5      1
 48006E85  22   7   u    0       0         21              1      HF    29     5      1
 48007085  22   7   u    0       0         21              2      HF    33     5      1
 48007483  22   7   u    0       0          2              0      HF    41     3      1
 48007283  22   7   u    0       0          2              1      HF    37     3      1
 48007183  22   7   u    0       0          2              2      HF    35     3      1
 48007303  22   7   u    0       0          3              0      HF    38     3      1
 48007203  22   7   u    0       0          3              1      HF    36     3      1
 48007383  22   7   u    0       0          3              2      HF    39     3      1
 4800B483  22   7   u    0       0          4              0      HF    41     3      2
 4800B283  22   7   u    0       0          4              1      HF    37     3      2
 4800B183  22   7   u    0       0          4              2      HF    35     3      2
 4800B303  22   7   u    0       0          5              0      HF    38     3      2
 4800B203  22   7   u    0       0          5              1      HF    36     3      2
 4800B383  22   7   u    0       0          5              2      HF    39     3      2
 4800B403  22   7   u    0       0          6              0      HF    40     3      2
 4800B305  22   7   u    0       0          6              1      HF    38     5      2
 4800B205  22   7   u    0       0          6              2      HF    36     5      2
 4800B285  22   7   u    0       0          7              0      HF    37     5      2
 4800B185  22   7   u    0       0          7              1      HF    35     5      2
 4800B385  22   7   u    0       0          7              2      HF    39     5      2
 48007403  22   7   u    0       0          8              0      HF    40     3      1
 48007305  22   7   u    0       0          8              1      HF    38     5      1
 48007205  22   7   u    0       0          8              2      HF    36     5      1
 48007285  22   7   u    0       0          9              0      HF    37     5      1
 48007185  22   7   u    0       0          9              1      HF    35     5      1
 48007385  22   7   u    0       0          9              2      HF    39     5      1
 48007087  22   8   u    0       0         14              0      HF    33     7      1
 48006F87  22   8   u    0       0         14              1      HF    31     7      1
 48006E87  22   8   u    0       0         14              2      HF    29     7      1
 48007007  22   8   u    0       0         15              0      HF    32     7      1
 48006F07  22   8   u    0       0         15              1      HF    30     7      1
 48007107  22   8   u    0       0         15              2      HF    34     7      1
 4800B087  22   8   u    0       0         16              0      HF    33     7      2
 4800AF87  22   8   u    0       0         16              1      HF    31     7      2
 4800AE87  22   8   u    0       0         16              2      HF    29     7      2
 4800B007  22   8   u    0       0         17              0      HF    32     7      2
 4800AF07  22   8   u    0       0         17              1      HF    30     7      2
 4800B107  22   8   u    0       0         17              2      HF    34     7      2
 4800B109  22   8   u    0       0         18              0      HF    34     9      2
 4800B009  22   8   u    0       0         18              1      HF    32     9      2
 4800AF09  22   8   u    0       0         18              2      HF    30     9      2
 4800AF89  22   8   u    0       0         19              0      HF    31     9      2
 4800AE89  22   8   u    0       0         19              1      HF    29     9      2
 4800B089  22   8   u    0       0         19              2      HF    33     9      2
 48007109  22   8   u    0       0         20              0      HF    34     9      1
 48007009  22   8   u    0       0         20              1      HF    32     9      1
 48006F09  22   8   u    0       0         20              2      HF    30     9      1
 48006F89  22   8   u    0       0         21              0      HF    31     9      1
 48006E89  22   8   u    0       0         21              1      HF    29     9      1
 48007089  22   8   u    0       0         21              2      HF    33     9      1
 48007487  22   8   u    0       0          2              0      HF    41     7      1
 48007287  22   8   u    0       0          2              1      HF    37     7      1
 48007187  22   8   u    0       0          2              2      HF    35     7      1
 48007307  22   8   u    0       0          3              0      HF    38     7      1
 48007207  22   8   u    0       0          3              1      HF    36     7      1
 48007387  22   8   u    0       0          3              2      HF    39     7      1
 4800B487  22   8   u    0       0          4              0      HF    41     7      2
 4800B287  22   8   u    0       0          4              1      HF    37     7      2
 4800B187  22   8   u    0       0          4              2      HF    35     7      2
 4800B307  22   8   u    0       0          5              0      HF    38     7      2
 4800B207  22   8   u    0       0          5              1      HF    36     7      2
 4800B387  22   8   u    0       0          5              2      HF    39     7      2
 4800B407  22   8   u    0       0          6              0      HF    40     7      2
 4800B309  22   8   u    0       0          6              1      HF    38     9      2
 4800B209  22   8   u    0       0          6              2      HF    36     9      2
 4800B289  22   8   u    0       0          7              0      HF    37     9      2
 4800B189  22   8   u    0       0          7              1      HF    35     9      2
 4800B389  22   8   u    0       0          7              2      HF    39     9      2
 48007407  22   8   u    0       0          8              0      HF    40     7      1
 48007309  22   8   u    0       0          8              1      HF    38     9      1
 48007209  22   8   u    0       0          8              2      HF    36     9      1
 48007289  22   8   u    0       0          9              0      HF    37     9      1
 48007189  22   8   u    0       0          9              1      HF    35     9      1
 48007389  22   8   u    0       0          9              2      HF    39     9      1
 4800708B  22   9   u    0       0         14              0      HF    33    11      1
 48006F8B  22   9   u    0       0         14              1      HF    31    11      1
 48006E8B  22   9   u    0       0         14              2      HF    29    11      1
 4800700B  22   9   u    0       0         15              0      HF    32    11      1
 48006F0B  22   9   u    0       0         15              1      HF    30    11      1
 4800710B  22   9   u    0       0         15              2      HF    34    11      1
 4800B08B  22   9   u    0       0         16              0      HF    33    11      2
 4800AF8B  22   9   u    0       0         16              1      HF    31    11      2
 4800AE8B  22   9   u    0       0         16              2      HF    29    11      2
 4800B00B  22   9   u    0       0         17              0      HF    32    11      2
 4800AF0B  22   9   u    0       0         17              1      HF    30    11      2
 4800B10B  22   9   u    0       0         17              2      HF    34    11      2
 4800B10D  22   9   u    0       0         18              0      HF    34    13      2
 4800B00D  22   9   u    0       0         18              1      HF    32    13      2
 4800AF0D  22   9   u    0       0         18              2      HF    30    13      2
 4800AF8D  22   9   u    0       0         19              0      HF    31    13      2
 4800AE8D  22   9   u    0       0         19              1      HF    29    13      2
 4800B08D  22   9   u    0       0         19              2      HF    33    13      2
 4800710D  22   9   u    0       0         20              0      HF    34    13      1
 4800700D  22   9   u    0       0         20              1      HF    32    13      1
 48006F0D  22   9   u    0       0         20              2      HF    30    13      1
 48006F8D  22   9   u    0       0         21              0      HF    31    13      1
 48006E8D  22   9   u    0       0         21              1      HF    29    13      1
 4800708D  22   9   u    0       0         21              2      HF    33    13      1
 4800748B  22   9   u    0       0          2              0      HF    41    11      1
 4800728B  22   9   u    0       0          2              1      HF    37    11      1
 4800718B  22   9   u    0       0          2              2      HF    35    11      1
 4800730B  22   9   u    0       0          3              0      HF    38    11      1
 4800720B  22   9   u    0       0          3              1      HF    36    11      1
 4800738B  22   9   u    0       0          3              2      HF    39    11      1
 4800B48B  22   9   u    0       0          4              0      HF    41    11      2
 4800B28B  22   9   u    0       0          4              1      HF    37    11      2
 4800B18B  22   9   u    0       0          4              2      HF    35    11      2
 4800B30B  22   9   u    0       0          5              0      HF    38    11      2
 4800B20B  22   9   u    0       0          5              1      HF    36    11      2
 4800B38B  22   9   u    0       0          5              2      HF    39    11      2
